Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9
50000,1,1,1,2000,1,8760,8760,1,10367.42272,10143.98595,20206.24707,55066.77973,21353.68144,7220.480902,11340.78834,10420.91691,38201.12086
,2,0.9,0.04,1800,,,,2,10459.36794,10230.13288,19996.16308,55317.18958,21502.21817,7234.507294,11525.09936,10614.8533,38681.46188
,3,0.55,0.024,1100,,,,3,10696.63079,10523.81549,19962.19773,55727.9852,22142.80117,7348.182481,11929.36984,10913.74986,39692.09976
,4,0.2,0.003,400,,,,4,10958.88217,10965.32353,20089.23294,56139.48993,23111.96291,7494.478368,12484.47088,11455.69666,41139.4432
,,,,,,,,5,11188.70138,11387.13307,20571.3156,56375.07231,23861.05545,7554.606981,12834.80221,11826.23014,42284.34333
,,,,,,,,6,11208.1456,11490.39926,21354.25388,56227.01065,24084.86037,7593.931293,12789.0247,11893.47212,42424.42143
,,,,,,,,7,11123.60321,11573.81258,21751.83491,55765.91848,24045.42251,7601.041124,12466.2188,11837.56971,42267.04725
,,,,,,,,8,11023.27088,11545.11363,21850.3353,55362.13131,23930.55545,7610.743249,12165.70371,11734.75137,41864.32849
,,,,,,,,9,10934.66841,11535.593,21857.66692,55043.56364,23845.29868,7625.945786,11911.65607,11607.07517,41166.02143
,,,,,,,,10,10850.30931,11415.54673,21882.24787,54746.5001,23714.75049,7599.944012,11711.78837,11482.53713,40486.89741
,,,,,,,,11,10754.35373,11327.71035,21795.90097,54517.75528,23604.5635,7597.526967,11598.22862,11398.41421,39948.42742
,,,,,,,,12,10699.20215,11344.73062,21679.80213,54392.97917,23666.65695,7553.915742,11575.15418,11310.29631,39462.84978
,,,,,,,,13,10762.93818,11383.00317,21644.63351,54579.84432,24150.76329,7527.93746,11869.53299,11380.35564,39232.54839
,,,,,,,,14,11017.33894,11464.21078,21603.26079,55182.75767,25382.19235,7574.999195,12532.23118,11714.19912,39678.07685
,,,,,,,,15,11365.091,11832.28073,21681.33254,56135.17875,27157.53803,7657.458554,13441.04841,12227.64643,41129.60456
,,,,,,,,16,11410.2179,12083.28102,22255.35363,56430.20679,27555.00169,7657.330061,13672.39092,12240.74245,41934.69143
,,,,,,,,17,11445.83346,12050.84794,22996.8786,56525.85143,27577.50624,7606.01495,13690.08647,12185.5016,42009.5836
,,,,,,,,18,11380.81247,11849.35824,23115.16493,56476.4658,27374.63164,7599.710778,13582.15805,12034.27778,41894.7357
,,,,,,,,19,11192.10524,11614.09663,23006.77912,56339.65791,26691.26453,7544.519485,13300.63656,11792.43188,41458.69827
,,,,,,,,20,10988.80209,11229.97399,22797.16164,56040.62846,25654.08644,7461.460785,12791.03161,11408.13108,40827.93206
,,,,,,,,21,10703.61145,10772.84283,22410.79831,55783.09422,24408.5103,7336.807271,12313.02427,11010.47433,39951.48196
,,,,,,,,22,10501.45366,10489.58317,21576.31218,55623.12481,23254.97214,7291.612517,11904.04106,10758.65171,39305.1401
,,,,,,,,23,10443.0925,10248.54146,20974.9898,55582.45745,22657.15484,7241.886033,11709.64776,10609.93328,39165.34227
,,,,,,,,24,10436.63751,10124.97706,20512.59435,55582.41174,22254.46445,7229.201098,11581.25275,10554.0764,39083.6812
