Name,Planned (MW),Operating (MW),In Construction (MW),Operating and In Construction (MW),Total (MW),Region Name
"Fond du Lac County, WI",80.0,0.0,0.0,0.0,80.0,MIS_WUMS
"Manassas city, VA",25.0,30.0,50.0,80.0,105.0,PJM_Dom
"Midland County, TX",4.0,112.0,0.0,112.0,116.0,ERC_WEST
"Collin County, TX",377.12,305.41,101.9,407.31,784.43,ERC_REST
"Durham County, NC",0.0,58.0,0.0,58.0,58.0,S_VACA
"Stone County, MS",0.0,15.0,0.0,15.0,15.0,MIS_D_MS
"St. Joseph County, IN",401.0,6.55,790.6,797.15,1198.15,PJM_West
"Natrona County, WY",250.0,0.0,1.1,1.1,251.1,WECC_WY
"Palm Beach County, FL",0.0,6.2,0.0,6.2,6.2,FRCC
"Greensville County, VA",120.0,0.0,0.0,0.0,120.0,PJM_Dom
"Cass County, ND",0.0,2.6,0.0,2.6,2.6,MIS_MAPP
"Rockingham County, NC",150.0,0.0,48.0,48.0,198.0,S_VACA
"McLeod County, MN",10.0,20.0,0.0,20.0,30.0,MIS_MNWI
"Hamilton County, NE",0.0,5.0,10.0,15.0,15.0,SPP_NEBR
"Ector County, TX",150.0,207.0,100.0,307.0,457.0,ERC_WEST
"Faribault County, MN",0.0,0.0,15.0,15.0,15.0,MIS_MNWI
"Montgomery County, OH",5.0,6.7,0.0,6.7,11.7,PJM_West
"Shelby County, AL",33.0,0.0,22.0,22.0,55.0,S_SOU
"Vanderburgh County, IN",0.0,0.7,0.0,0.7,0.7,MIS_INKY
"Franklin County, OH",483.0,1069.4,188.0,1257.4,1740.4,PJM_West
"Platte County, MO",0.0,13.25,0.0,13.25,13.25,SPP_N
"Hamilton County, OH",0.0,29.61,0.3,29.91,29.91,PJM_West
"Bosque County, TX",0.0,0.0,40.0,40.0,40.0,ERC_REST
"Caroline County, VA",1120.0,0.0,70.0,70.0,1190.0,PJM_Dom
"Bexar County, TX",634.0,548.6,271.0,819.6,1453.6,ERC_REST
"Kings County, NY",0.0,3.0,0.0,3.0,3.0,NY_Z_J
"Bell County, TX",200.0,300.0,157.0,457.0,657.0,ERC_REST
"Fairfax County, VA",272.7,338.4,334.0,672.4,945.1,PJM_Dom
"Spotsylvania County, VA",1538.0,0.0,388.0,388.0,1926.0,PJM_Dom
"Rowan County, NC",480.0,9.6,0.0,9.6,489.6,S_VACA
"Cheshire County, NH",0.0,0.5,0.0,0.5,0.5,NENGREST
"Whitfield County, GA",0.0,217.0,50.0,267.0,267.0,S_C_TVA
"Stafford County, VA",1150.0,0.0,42.0,42.0,1192.0,PJM_Dom
"Caldwell County, NC",0.0,78.5,0.0,78.5,78.5,S_VACA
"Rensselaer County, NY",0.0,10.0,0.0,10.0,10.0,NY_Z_F
"Cleveland County, NC",25.0,52.0,0.0,52.0,77.0,S_VACA
"Mecklenburg County, NC",2188.0,42.85,200.0,242.85,2430.85,S_VACA
"Walton County, GA",800.0,0.0,0.0,0.0,800.0,S_SOU
"Douglas County, WA",48.0,213.0,155.5,368.5,416.5,WECC_PNW
"Grand Forks County, ND",0.0,130.0,0.0,130.0,130.0,MIS_MAPP
"Union County, NJ",0.0,0.0,40.0,40.0,40.0,PJM_EMAC
"Phelps County, MO",1200.0,0.0,0.0,0.0,1200.0,MIS_MO
"Allegheny County, PA",0.0,32.4,15.0,47.4,47.4,PJM_AP
"Pulaski County, AR",0.0,1.2,150.0,151.2,151.2,MIS_AR
"Westmoreland County, PA",180.0,20.0,0.0,20.0,200.0,PJM_PENE
"Douglas County, NE",0.0,157.5,140.0,297.5,297.5,SPP_NEBR
"Clayton County, GA",0.0,0.0,50.0,50.0,50.0,S_SOU
"Milwaukee County, WI",2.7,9.45,0.0,9.45,12.15,MIS_WUMS
"Burlington County, NJ",0.0,4.0,0.0,4.0,4.0,PJM_EMAC
"York County, SC",100.0,2.0,0.0,2.0,102.0,S_VACA
"Armstrong County, PA",70.0,1.5,30.0,31.5,101.5,PJM_PENE
"Penobscot County, ME",60.0,0.0,0.0,0.0,60.0,NENG_ME
"Randolph County, MO",0.0,0.0,5.0,5.0,5.0,S_D_AECI
"Washington County, MN",20.0,6.5,20.0,26.5,46.5,MIS_MNWI
"Cobb County, GA",0.0,24.53,0.0,24.53,24.53,S_SOU
"Pend Oreille County, WA",0.0,100.0,0.0,100.0,100.0,WECC_PNW
"Richland County, SC",0.0,1.41,0.5,1.91,1.91,S_VACA
"Fauquier County, VA",1050.0,12.0,0.0,12.0,1062.0,PJM_Dom
"McLennan County, TX",500.0,1.3,0.0,1.3,501.3,ERC_REST
"Capitol Planning Region, CT",44.0,1.0,0.0,1.0,45.0,NENG_CT
"Capitol Planning Region, CT",44.0,1.0,0.0,1.0,45.0,NENG_CT
"Cass County, TX",0.0,40.0,0.0,40.0,40.0,SPP_WEST
"Volusia County, FL",0.0,0.5,0.0,0.5,0.5,FRCC
"Clark County, NV",414.0,426.33,0.0,426.33,840.33,WECC_SNV
"Brevard County, FL",0.0,2.5,0.0,2.5,2.5,FRCC
"Greenville County, SC",25.0,85.0,0.8,85.8,110.8,S_VACA
"King County, WA",0.0,204.46,6.0,210.46,210.46,WECC_PNW
