Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,Owner Name,Owner Percent,Holding Company,Holding Company Percent,Regulatory Status,Linked Generator ID_1,Linked Generator ID_2,Linked Generator ID_3,Linked Generator ID_4,Linked Generator ID_5,Linked Generator ID_6
Perry,6020_G_1,6020,G,1,,Nuclear,,PJM_ATSI,Ohio,39,Lake,85,39085,1240.0,10456,1987,2026,,,N,Nuclear Fuel,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Energy Harbor Nuclear Generation LLC,100.0,Energy Harbor Nuclear Generation LLC,100.0,Non-regulated,,,,,,
Eddystone Generating Station,3161_B_3,3161,B,3,2152.0,O/G Steam,,PJM_EMAC,Pennsylvania,42,Delaware,45,42045,380.0,14500,1974,2025,tangential,dry,N,"Natural Gas, Distillate Fuel Oil",,,,OFA,,,,,,,,,1.0,0.06478,0.06478,0.06478,0.06478,,,,,,,,,,,,"Constellation Power, Inc",100.0,"Constellation Power, Inc",100.0,Non-regulated,3,,,,,
Eddystone Generating Station,3161_B_4,3161,B,4,2154.0,O/G Steam,,PJM_EMAC,Pennsylvania,42,Delaware,45,42045,380.0,14500,1976,2025,tangential,dry,N,"Natural Gas, Distillate Fuel Oil",,,,OFA,,,,,,,,,1.0,0.06384,0.06384,0.06384,0.06384,,,,,,,,,,,,"Constellation Power, Inc",100.0,"Constellation Power, Inc",100.0,Non-regulated,4,,,,,
Clevelandcliffs Warren,54207_B_2,54207,B,2,89332.0,Fossil Waste,,PJM_ATSI,Ohio,39,Trumbull,155,39155,7.0,6603,1972,2018,,,Y,Fossil Waste,,,,LA,,,,,,,,,,0.15099,0.15099,0.15099,0.15099,,,,,,,,,,,,Clevelandcliffs Warren,100.0,Clevelandcliffs Warren,100.0,Non-regulated,GEN2,,,,,
Wheelabrator Portsmouth,54998_B_12300,54998,B,12300,,Municipal Solid Waste,,PJM_Dom,Virginia,51,Portsmouth City,740,51740,11.6,20120,1988,2024,,,Y,MSW,Dry Scrubber,1996.0,0.7,OFA,,,,B,,,,,0.06,0.4,0.4,0.4,0.4,0.08,0.08,0.08,,,,,,,,,Wheelabrator Environmental Systems,100.0,Wheelabrator Environmental Systems,100.0,Non-regulated,1410,1430,1420,,,
Wheelabrator Portsmouth,54998_B_12400,54998,B,12400,,Municipal Solid Waste,,PJM_Dom,Virginia,51,Portsmouth City,740,51740,11.6,20120,1988,2024,,,Y,MSW,Dry Scrubber,1995.0,0.7,OFA,,,,B,,,,,0.06,0.4,0.4,0.4,0.4,0.08,0.08,0.08,,,,,,,,,Wheelabrator Environmental Systems,100.0,Wheelabrator Environmental Systems,100.0,Non-regulated,1410,1430,1420,,,
Wheelabrator Portsmouth,54998_B_12500,54998,B,12500,,Municipal Solid Waste,,PJM_Dom,Virginia,51,Portsmouth City,740,51740,11.6,20120,1988,2024,,,Y,MSW,Dry Scrubber,1995.0,0.7,OFA,,,,B,,,,,0.06,0.4,0.4,0.4,0.4,0.08,0.08,0.08,,,,,,,,,Wheelabrator Environmental Systems,100.0,Wheelabrator Environmental Systems,100.0,Non-regulated,1410,1430,1420,,,
Wheelabrator Portsmouth,54998_B_12600,54998,B,12600,,Municipal Solid Waste,,PJM_Dom,Virginia,51,Portsmouth City,740,51740,11.6,20120,1988,2024,,,Y,MSW,Dry Scrubber,1995.0,0.7,OFA,,,,B,,,,,0.06,0.4,0.4,0.4,0.4,0.08,0.08,0.08,,,,,,,,,Wheelabrator Environmental Systems,100.0,Wheelabrator Environmental Systems,100.0,Non-regulated,1410,1430,1420,,,
Brandon Shores,602_B_1,602,B,1,395.0,Coal Steam,,PJM_SMAC,Maryland,24,Anne Arundel,3,24003,635.0,11282,1984,2025,wall,dry,N,Bituminous,Wet Scrubber,2009.0,0.98,AA + LNB + LNBO,SCR,2001.0,,ESPH + B + C,No,ACI,2009.0,0.9,1.2,0.4307,0.06994,0.4307,0.06994,0.05,0.1,0.1,0.99,Yes,2009.0,,,C2G (RFO),2026.0,,Brandon Shores LLC,100.0,Riverstone Holdings LLC,100.0,Non-regulated,1,,,,,
Brandon Shores,602_B_2,602,B,2,396.0,Coal Steam,,PJM_SMAC,Maryland,24,Anne Arundel,3,24003,638.0,11154,1991,2025,wall,dry,N,Bituminous,Wet Scrubber,2010.0,0.98,BF + LNB + LNBO,SCR,2000.0,,ESPH + B + C,No,ACI,2010.0,0.9,1.2,0.2113,0.07415,0.2113,0.07415,0.05,0.1,0.1,0.99,Yes,2010.0,,,C2G (RFO),2026.0,,Brandon Shores LLC,100.0,Brandon Shores LLC,100.0,Non-regulated,2,,,,,
