Time,Month,Day,Hour,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West
0,1,1,1,8407.83949444128,9439.31600366716,13182.9104789705,21886.0314251511,20688.511022339,2592.84875395098,11105.6375667951,8943.93385170085,32221.0765491581
1,1,1,2,8510.78086469884,9525.76748004026,12963.6946810445,22148.8611144648,20820.9514427008,2608.05276366205,11326.6168953732,9143.0648029841,32670.8192190705
2,1,1,3,8779.66282537289,9837.56363731367,12923.9285935436,22587.5515909053,21492.2247491921,2731.928789046,11804.686976303,9454.40153449335,33632.0841539274
3,1,1,4,9083.67472307114,10308.8627028219,13049.1232013896,23053.2347939952,22501.5262191492,2892.09416227566,12457.6448258686,10018.3502550772,35016.9879921088
4,1,1,5,9355.15677850137,10766.8849647959,13531.4887670587,23407.6927720065,23365.1526555208,2960.49627417957,12887.823649521,10409.7846191896,36143.633855044
5,1,1,6,9397.08440473805,10896.1186615983,14331.4517460951,23402.2490909882,23718.8254729073,3010.07043075097,12860.7625591688,10491.383080231,36339.151752376
6,1,1,7,9317.98156970849,10995.5800026657,14773.0524175875,23054.7758411828,23793.5623044301,3020.78625480942,12505.3148849668,10442.4414776422,36236.5998917004
7,1,1,8,9216.6397531008,10972.6309882308,14911.8628998701,22753.4521222699,23718.2330357268,3034.79209872091,12157.0423101729,10342.4164515296,35891.862578786
8,1,1,9,9121.81677325942,10968.1237217841,14942.430860254,22457.8929468269,23689.0812618803,3053.38325530964,11852.8347287362,10215.0919715462,35252.6207087615
9,1,1,10,9033.92641799013,10849.1571441507,14972.722377103,22195.2210501174,23630.4194088261,3028.30141710991,11635.9666996959,10091.085651396,34633.4030559636
10,1,1,11,8933.41450662714,10766.4570598081,14907.8960567031,21963.4133906589,23495.2029010698,3025.9283770354,11501.8036984962,10006.8996321951,34138.8649461149
11,1,1,12,8875.74469682369,10788.4659116067,14805.981033416,21841.0882324375,23607.7223330718,2979.86378962526,11484.2694768792,9918.06505761367,33692.0715166548
12,1,1,13,8950.25489666209,10838.669931247,14788.6934773565,22011.1293424866,24171.4084346246,2952.47056360308,11829.1401225921,9996.16923334054,33484.1264355744
13,1,1,14,9247.67238577369,10948.3177835544,14769.5136600369,22673.5183152175,25522.1537075948,3006.81314154673,12615.7099744962,10349.8360642268,33942.7400225033
