Region Name,State Name,PV Class,Resource Class,Month,Day of Month,Season,Hour,kWh of Generation per MW of Capacity,Zone
PJM_AP,MD,Class 8,2,1,1,Winter,1,0,APS
PJM_AP,MD,Class 8,2,1,1,Winter,2,0,APS
PJM_AP,MD,Class 8,2,1,1,Winter,3,0,APS
PJM_AP,MD,Class 8,2,1,1,Winter,4,0,APS
PJM_AP,MD,Class 8,2,1,1,Winter,5,0,APS
PJM_AP,MD,Class 8,2,1,1,Winter,6,0,APS
PJM_AP,MD,Class 8,2,1,1,Winter,7,0,APS
PJM_AP,MD,Class 8,2,1,1,Winter,8,0,APS
PJM_AP,MD,Class 8,2,1,1,Winter,9,73.94817227,APS
PJM_AP,MD,Class 8,2,1,1,Winter,10,432.9049034,APS
PJM_AP,MD,Class 8,2,1,1,Winter,11,798.0240291,APS
PJM_AP,MD,Class 8,2,1,1,Winter,12,563.8548035,APS
PJM_AP,MD,Class 8,2,1,1,Winter,13,283.4679918,APS
PJM_AP,MD,Class 8,2,1,1,Winter,14,291.170919,APS
PJM_AP,MD,Class 8,2,1,1,Winter,15,428.2831563,APS
PJM_AP,MD,Class 8,2,1,1,Winter,16,537.6648419,APS
PJM_AP,MD,Class 8,2,1,1,Winter,17,189.492195,APS
PJM_AP,MD,Class 8,2,1,1,Winter,18,0,APS
PJM_AP,MD,Class 8,2,1,1,Winter,19,0,APS
PJM_AP,MD,Class 8,2,1,1,Winter,20,0,APS
PJM_AP,MD,Class 8,2,1,1,Winter,21,0,APS
PJM_AP,MD,Class 8,2,1,1,Winter,22,0,APS
PJM_AP,MD,Class 8,2,1,1,Winter,23,0,APS
PJM_AP,MD,Class 8,2,1,1,Winter,24,0,APS
PJM_AP,MD,Class 8,2,1,2,Winter,1,0,APS
PJM_AP,MD,Class 8,2,1,2,Winter,2,0,APS
PJM_AP,MD,Class 8,2,1,2,Winter,3,0,APS
PJM_AP,MD,Class 8,2,1,2,Winter,4,0,APS
PJM_AP,MD,Class 8,2,1,2,Winter,5,0,APS
PJM_AP,MD,Class 8,2,1,2,Winter,6,0,APS
PJM_AP,MD,Class 8,2,1,2,Winter,7,0,APS
PJM_AP,MD,Class 8,2,1,2,Winter,8,0,APS
PJM_AP,MD,Class 8,2,1,2,Winter,9,109.3816741,APS
PJM_AP,MD,Class 8,2,1,2,Winter,10,688.6423435,APS
PJM_AP,MD,Class 8,2,1,2,Winter,11,833.457531,APS
PJM_AP,MD,Class 8,2,1,2,Winter,12,750.265807,APS
PJM_AP,MD,Class 8,2,1,2,Winter,13,676.3176692,APS
PJM_AP,MD,Class 8,2,1,2,Winter,14,702.5076309,APS
PJM_AP,MD,Class 8,2,1,2,Winter,15,793.4022361,APS
PJM_AP,MD,Class 8,2,1,2,Winter,16,818.0516766,APS
PJM_AP,MD,Class 8,2,1,2,Winter,17,426.7425892,APS
PJM_AP,MD,Class 8,2,1,2,Winter,18,0,APS
PJM_AP,MD,Class 8,2,1,2,Winter,19,0,APS
PJM_AP,MD,Class 8,2,1,2,Winter,20,0,APS
PJM_AP,MD,Class 8,2,1,2,Winter,21,0,APS
PJM_AP,MD,Class 8,2,1,2,Winter,22,0,APS
PJM_AP,MD,Class 8,2,1,2,Winter,23,0,APS
PJM_AP,MD,Class 8,2,1,2,Winter,24,0,APS
PJM_AP,MD,Class 8,2,1,3,Winter,1,0,APS
PJM_AP,MD,Class 8,2,1,3,Winter,2,0,APS
PJM_AP,MD,Class 8,2,1,3,Winter,3,0,APS
PJM_AP,MD,Class 8,2,1,3,Winter,4,0,APS
PJM_AP,MD,Class 8,2,1,3,Winter,5,0,APS
PJM_AP,MD,Class 8,2,1,3,Winter,6,0,APS
PJM_AP,MD,Class 8,2,1,3,Winter,7,0,APS
PJM_AP,MD,Class 8,2,1,3,Winter,8,0,APS
PJM_AP,MD,Class 8,2,1,3,Winter,9,89.35403815,APS
PJM_AP,MD,Class 8,2,1,3,Winter,10,303.4956163,APS
PJM_AP,MD,Class 8,2,1,3,Winter,11,309.6579764,APS
PJM_AP,MD,Class 8,2,1,3,Winter,12,556.1518763,APS
PJM_AP,MD,Class 8,2,1,3,Winter,13,506.8530872,APS
PJM_AP,MD,Class 8,2,1,3,Winter,14,499.15016,APS
PJM_AP,MD,Class 8,2,1,3,Winter,15,599.2883054,APS
PJM_AP,MD,Class 8,2,1,3,Winter,16,634.7218072,APS
PJM_AP,MD,Class 8,2,1,3,Winter,17,258.8185972,APS
PJM_AP,MD,Class 8,2,1,3,Winter,18,0,APS
PJM_AP,MD,Class 8,2,1,3,Winter,19,0,APS
PJM_AP,MD,Class 8,2,1,3,Winter,20,0,APS
PJM_AP,MD,Class 8,2,1,3,Winter,21,0,APS
PJM_AP,MD,Class 8,2,1,3,Winter,22,0,APS
PJM_AP,MD,Class 8,2,1,3,Winter,23,0,APS
PJM_AP,MD,Class 8,2,1,3,Winter,24,0,APS
PJM_AP,MD,Class 8,2,1,4,Winter,1,0,APS
PJM_AP,MD,Class 8,2,1,4,Winter,2,0,APS
PJM_AP,MD,Class 8,2,1,4,Winter,3,0,APS
PJM_AP,MD,Class 8,2,1,4,Winter,4,0,APS
PJM_AP,MD,Class 8,2,1,4,Winter,5,0,APS
PJM_AP,MD,Class 8,2,1,4,Winter,6,0,APS
PJM_AP,MD,Class 8,2,1,4,Winter,7,0,APS
PJM_AP,MD,Class 8,2,1,4,Winter,8,0,APS
PJM_AP,MD,Class 8,2,1,4,Winter,9,9.243521534,APS
PJM_AP,MD,Class 8,2,1,4,Winter,10,120.1657814,APS
PJM_AP,MD,Class 8,2,1,4,Winter,11,181.7892564,APS
PJM_AP,MD,Class 8,2,1,4,Winter,12,189.492195,APS
PJM_AP,MD,Class 8,2,1,4,Winter,13,281.9274018,APS
PJM_AP,MD,Class 8,2,1,4,Winter,14,184.8704249,APS
PJM_AP,MD,Class 8,2,1,4,Winter,15,306.5767964,APS
PJM_AP,MD,Class 8,2,1,4,Winter,16,517.6371944,APS
PJM_AP,MD,Class 8,2,1,4,Winter,17,394.3902674,APS
PJM_AP,MD,Class 8,2,1,4,Winter,18,0,APS
PJM_AP,MD,Class 8,2,1,4,Winter,19,0,APS
PJM_AP,MD,Class 8,2,1,4,Winter,20,0,APS
PJM_AP,MD,Class 8,2,1,4,Winter,21,0,APS
PJM_AP,MD,Class 8,2,1,4,Winter,22,0,APS
PJM_AP,MD,Class 8,2,1,4,Winter,23,0,APS
PJM_AP,MD,Class 8,2,1,4,Winter,24,0,APS
PJM_AP,MD,Class 8,2,1,5,Winter,1,0,APS
PJM_AP,MD,Class 8,2,1,5,Winter,2,0,APS
PJM_AP,MD,Class 8,2,1,5,Winter,3,0,APS
PJM_AP,MD,Class 8,2,1,5,Winter,4,0,APS
PJM_AP,MD,Class 8,2,1,5,Winter,5,0,APS
PJM_AP,MD,Class 8,2,1,5,Winter,6,0,APS
PJM_AP,MD,Class 8,2,1,5,Winter,7,0,APS
PJM_AP,MD,Class 8,2,1,5,Winter,8,0,APS
PJM_AP,MD,Class 8,2,1,5,Winter,9,110.9222527,APS
PJM_AP,MD,Class 8,2,1,5,Winter,10,722.5352783,APS
PJM_AP,MD,Class 8,2,1,5,Winter,11,865.8098068,APS
PJM_AP,MD,Class 8,2,1,5,Winter,12,787.239876,APS
PJM_AP,MD,Class 8,2,1,5,Winter,13,713.2917381,APS
PJM_AP,MD,Class 8,2,1,5,Winter,14,734.8599526,APS
PJM_AP,MD,Class 8,2,1,5,Winter,15,830.376305,APS
PJM_AP,MD,Class 8,2,1,5,Winter,16,864.2692398,APS
PJM_AP,MD,Class 8,2,1,5,Winter,17,435.9860835,APS
PJM_AP,MD,Class 8,2,1,5,Winter,18,0,APS
PJM_AP,MD,Class 8,2,1,5,Winter,19,0,APS
PJM_AP,MD,Class 8,2,1,5,Winter,20,0,APS
PJM_AP,MD,Class 8,2,1,5,Winter,21,0,APS
PJM_AP,MD,Class 8,2,1,5,Winter,22,0,APS
PJM_AP,MD,Class 8,2,1,5,Winter,23,0,APS
