Time,Month,Day,Hour,APS,ATSI,COMED,DOM,AE,PS,PECO,JCPL,DPL,RECO,PENLC,BGE,PEPCO,METED,PL,AEP,DAY,DLCO,DEOK,EKPC,OVEC
0,1,1,1,7747.922721,9076.985952,12161.44707,17009.47973,1673.042593,6216.406828,5129.345961,3761.018759,2477.249694,244.417607,2440.480902,5486.862799,4999.925541,2490.691833,6088.225081,19342.61823,2835.635952,2413.087379,4609.587195,1870.856603,76.9354998
1,1,1,2,7839.86794,9163.132878,11951.36308,17259.88958,1685.785639,6263.755269,5168.414597,3789.665272,2496.118136,246.27926,2454.507294,5583.297402,5087.801956,2546.996815,6225.856482,19640.89863,2879.363985,2450.299336,4680.671135,1899.706878,78.12191373
2,1,1,3,8077.130791,9456.815489,11917.39773,17670.6852,1740.741599,6467.951269,5336.902915,3913.206894,2577.490622,254.3078687,2568.182481,5794.818468,5280.551368,2633.774578,6437.975278,20268.48083,2971.367799,2528.593322,4830.231802,1960.40788,80.61812959
3,1,1,4,8339.382173,9898.323525,12044.43294,18082.18993,1823.886507,6776.886962,5591.815132,4100.117592,2700.602071,266.4546481,2714.478368,6085.256607,5545.214277,2791.116408,6822.580256,21167.24684,3103.127273,2640.718832,5044.418953,2047.33832,84.19298235
4,1,1,5,8569.201384,10320.13307,12526.5156,18317.77231,1888.151559,7015.672103,5788.844,4244.58616,2795.758394,275.8432378,2774.606981,6268.555808,5712.246403,2898.692306,7085.53783,21878.20272,3207.353703,2729.414096,5213.848606,2116.10339,87.02081801
5,1,1,6,8588.645604,10423.39926,13309.45388,18169.71065,1907.351904,7087.013473,5847.70993,4287.748752,2824.188063,278.6482484,2813.931293,6244.604248,5690.420449,2918.214476,7133.257649,21965.1879,3220.105767,2740.265928,5234.57826,2124.51677,87.36680263
6,1,1,7,8504.103209,10506.81258,13707.03491,17708.61848,1903.968509,7074.442029,5837.33685,4280.142841,2819.178319,278.1539625,2821.041124,6075.706814,5536.51199,2901.984491,7093.585218,21867.46226,3205.779148,2728.074172,5211.289022,2115.064552,86.97809772
7,1,1,8,8403.770884,10478.11363,13805.5353,17304.83131,1894.114001,7037.826329,5807.124124,4257.989797,2804.586894,276.7143009,2830.743249,5918.472297,5393.231412,2872.133545,7020.617829,21617.38344,3169.117488,2696.875601,5151.69212,2090.87643,85.98340617
8,1,1,9,8315.168412,10468.593,13812.86692,16986.26364,1886.799778,7010.649382,5784.6996,4241.547339,2793.756831,275.6457537,2845.945786,5785.550327,5272.105738,2835.065686,6930.009482,21183.75129,3105.546833,2642.777843,5048.352169,2048.934664,84.25862901
9,1,1,10,8230.809308,10348.54673,13837.44787,16689.2001,1875.599978,6969.035073,5750.36237,4216.370062,2777.173451,274.0095561,2819.944012,5680.976211,5176.812158,2798.908923,6841.628211,20762.03135,3043.722513,2590.166193,4947.851048,2008.14507,82.58123281
