Line,From,To,TTC_Capacity_2028
ERC_FRNT-ERC_REST,ERC_FRNT,ERC_REST,860
ERC_FRNT-SPP_WEST,ERC_FRNT,SPP_WEST,860
ERC_GWAY-ERC_REST,ERC_GWAY,ERC_REST,845
ERC_GWAY-SPP_WEST,ERC_GWAY,SPP_WEST,845
ERC_PHDL-ERC_WEST,ERC_PHDL,ERC_WEST,5000
ERC_REST-ERC_WEST,ERC_REST,ERC_WEST,5529
ERC_REST-SPP_WEST,ERC_REST,SPP_WEST,600
ERC_WEST-ERC_PHDL,ERC_WEST,ERC_PHDL,5000
ERC_WEST-ERC_REST,ERC_WEST,ERC_REST,12160
ERC_WEST-SPP_WEST,ERC_WEST,SPP_WEST,220
FRCC-S_SOU,FRCC,S_SOU,3600
MIS_AMSO-MIS_LA,MIS_AMSO,MIS_LA,1699
MIS_AMSO-MIS_MS,MIS_AMSO,MIS_MS,200
MIS_AR-MIS_LA,MIS_AR,MIS_LA,1881
MIS_AR-MIS_MO,MIS_AR,MIS_MO,1000
MIS_AR-MIS_MS,MIS_AR,MIS_MS,223
MIS_AR-S_C_TVA,MIS_AR,S_C_TVA,1500
MIS_AR-S_D_AECI,MIS_AR,S_D_AECI,900
MIS_AR-SPP_WEST,MIS_AR,SPP_WEST,792
MIS_IA-MIS_MIDA,MIS_IA,MIS_MIDA,1616
MIS_IA-MIS_MNWI,MIS_IA,MIS_MNWI,1528
MIS_IA-MIS_MO,MIS_IA,MIS_MO,223
MIS_IA-SPP_WAUE,MIS_IA,SPP_WAUE,100
MIS_IL-MIS_INKY,MIS_IL,MIS_INKY,836
MIS_IL-MIS_MIDA,MIS_IL,MIS_MIDA,300
MIS_IL-MIS_MO,MIS_IL,MIS_MO,4306
MIS_IL-PJM_COMD,MIS_IL,PJM_COMD,3200
MIS_IL-S_C_TVA,MIS_IL,S_C_TVA,840
MIS_INKY-MIS_IL,MIS_INKY,MIS_IL,956
MIS_INKY-PJM_COMD,MIS_INKY,PJM_COMD,2718
MIS_INKY-PJM_West,MIS_INKY,PJM_West,5441
MIS_INKY-S_C_KY,MIS_INKY,S_C_KY,3480
MIS_INKY-S_C_TVA,MIS_INKY,S_C_TVA,300
MIS_LA-MIS_AMSO,MIS_LA,MIS_AMSO,1699
MIS_LA-MIS_AR,MIS_LA,MIS_AR,1881
MIS_LA-MIS_MS,MIS_LA,MIS_MS,1732
MIS_LA-MIS_WOTA,MIS_LA,MIS_WOTA,595
MIS_LA-S_SOU,MIS_LA,S_SOU,797
MIS_LA-SPP_WEST,MIS_LA,SPP_WEST,986
MIS_LMI-CN_ON,MIS_LMI,CN_ON,1300
MIS_LMI-MIS_WUMS,MIS_LMI,MIS_WUMS,100
MIS_LMI-PJM_ATSI,MIS_LMI,PJM_ATSI,1262
MIS_LMI-PJM_West,MIS_LMI,PJM_West,1600
MIS_MAPP-CN_MB,MIS_MAPP,CN_MB,300
MIS_MAPP-MIS_MNWI,MIS_MAPP,MIS_MNWI,2150
