State,2028,2030,2035,2040,2045,2050,2055
Arizona,8.60%,8.60%,8.60%,8.60%,8.60%,8.60%,8.60%
California,52.00%,57.30%,70.70%,84.00%,97.30%,100.00%,100.00%
Colorado,20.90%,20.90%,20.90%,20.90%,20.90%,20.90%,20.90%
Connecticut,40.00%,44.00%,44.00%,44.00%,44.00%,44.00%,44.00%
District of Columbia,73.00%,87.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Delaware,26.50%,28.00%,40.00%,40.00%,40.00%,40.00%,40.00%
Iowa,0.60%,0.60%,0.60%,0.60%,0.50%,0.50%,0.50%
Illinois,32.50%,40.00%,45.00%,45.00%,50.00%,50.00%,50.00%
Massachusetts,36.00%,40.00%,45.00%,50.00%,55.00%,60.00%,60.00%
Maryland,47.50%,50.00%,50.00%,50.00%,55.00%,60.00%,60.00%
Maine,71.00%,80.00%,85.00%,90.00%,95.00%,100.00%,100.00%
Michigan,35.00%,35.00%,35.00%,35.00%,35.00%,35.00%,35.00%
Minnesota,34.00%,40.00%,55.00%,55.00%,55.00%,55.00%,55.00%
Missouri,10.50%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%
North Carolina,11.60%,11.60%,11.60%,11.60%,11.60%,11.60%,11.60%
New Hampshire,23.00%,23.00%,23.00%,23.00%,23.00%,23.00%,23.00%
New Jersey,46.50%,52.50%,52.50%,52.50%,52.50%,52.50%,52.50%
New Mexico,41.60%,45.20%,57.20%,69.20%,70.70%,72.30%,72.30%
Nevada,34.80%,41.40%,41.40%,41.40%,41.40%,41.40%,41.40%
New York,61.20%,70.00%,70.00%,70.00%,70.00%,70.00%,70.00%
Ohio,7.60%,7.60%,7.60%,7.60%,7.60%,7.60%,7.60%
Oregon,18.60%,23.70%,31.10%,35.50%,39.90%,39.90%,39.90%
Pennsylvania,8.00%,8.00%,8.00%,8.00%,8.00%,8.00%,8.00%
Rhode Island,55.50%,72.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Texas,6.50%,6.30%,6.00%,5.70%,5.40%,5.10%,5.10%
Virginia,26.10%,30.80%,44.50%,60.20%,76.00%,78.40%,78.40%
Vermont,67.00%,71.00%,75.00%,75.00%,75.00%,75.00%,75.00%
Washington,12.20%,12.20%,12.20%,12.20%,12.20%,12.20%,12.20%
Wisconsin,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%,9.60%
