IPM Region,State,Wind Class,Resource Class,Cost Class 1,Cost Class 2,Cost Class 3,Cost Class 4,Cost Class 5,Cost Class 6
MIS_LMI,MI,Class 12,7,2154,,,,,
MIS_WUMS,MI,Class 12,7,113,,,,,
NENG_ME,ME,Class 8,8,,330,330,330,330,85755
NENG_ME,ME,Class 11,7,,397,397,397,397,6940
NENGREST,MA,Class 8,8,2176,2888,1444,3882,2528,370283
NENGREST,MA,Class 11,7,1450,,,,,
NENGREST,RI,Class 8,8,376,,,,,
NY_Z_J,NY,Class 11,7,,,,,,8509
NY_Z_K,NY,Class 9,8,608,696,796,694,663,74310
NY_Z_K,NY,Class 11,7,397,794,794,789,588,
PJM_Dom,NC,Class 12,7,2509,2681,2595,1782,2515,4918
PJM_Dom,VA,Class 12,7,1986,,,,,
PJM_EMAC,DE,Class 10,8,2978,992,,,,
PJM_EMAC,DE,Class 11,7,496,,,,,
PJM_EMAC,MD,Class 10,8,397,,,,,
PJM_EMAC,MD,Class 11,7,2846,2846,2846,2846,2846,27846
PJM_EMAC,NJ,Class 10,8,2717,3194,2577,3376,3022,33803
PJM_EMAC,NJ,Class 11,7,2942,3031,1539,3839,1919,34612
PJM_EMAC,VA,Class 12,7,2978,2796,3200,2600,,
S_VACA,NC,Class 12,7,397,3176,3176,3176,3176,321572
WEC_CALN,CA,Class 8,8,2222,3640,,3640,3640,360347
WEC_CALN,CA,Class 12,7,2984,2800,3210,2762,3177,513613
WECC_PNW,OR,Class 8,8,2780,3197,2774,1646,,
WECC_PNW,OR,Class 8,8,2754,3175,3064,2902,2383,43714
WECC_PNW,WA,Class 12,7,2646,2646,2646,2646,2646,345408
WECC_SCE,CA,Class 12,7,1312,3772,3772,3772,3772,72915
Note: Resource potential depleted to account for the NEEDS capacity built in 2021 - 2028 by IPM Region & State.,,,,,,,,,
