Model Region,Combined Cycle,Combined Cycle with 90% CCS,Combustion Turbine,Hydro,Nuclear,Biomass,Geothermal,Landfill Gas,Offshore Wind,Onshore Wind,Solar PV/Battery Storage,Solar Thermal,Fuel Cell,Ultra-supercritical Coal without CCS,Ultra-supercritical Coal with 36% CCS,Ultra-supercritical Coal with 90% CCS
ERC_PHDL,1.006,1.006,1.042,1,0.979,0.922,1,0.92,,1.002,0.961,0.916,0.937,1.005,1.005,0.992
ERC_REST,0.977,0.977,1.027,1,0.969,0.922,1,0.92,,0.968,0.935,0.889,0.937,0.981,0.981,0.969
ERC_West,0.999,0.999,1.038,1,0.976,0.922,1,0.92,,0.989,0.952,0.909,0.937,0.997,0.997,0.985
FRCC,0.983,0.983,1.033,1,0.976,0.948,1,0.949,,0.961,0.936,0.899,0.96,1.001,1.001,0.991
MIS_AMSO,0.955,0.955,1.015,1,0.963,0.93,1,0.933,,0.949,0.917,0.865,0.946,0.958,0.958,0.947
MIS_AR,0.977,0.977,1.022,1,0.977,0.93,1,0.933,,0.977,0.95,0.914,0.946,0.995,0.995,0.987
MIS_MS,0.958,0.958,1.013,1,0.968,0.93,1,0.933,,0.958,0.929,0.884,0.946,0.972,0.972,0.962
MIS_IA,1.001,1.001,1.017,1,0.999,0.968,1,0.968,,1.041,1.011,0.993,0.975,1.013,1.013,1.008
MIS_IL,1,1,1.016,1,0.999,1.017,1,1.019,,1.014,0.999,0.99,1.017,1.021,1.021,1.02
MIS_INKY,0.987,0.987,1.007,1,0.998,1.01,1,0.994,,1.003,0.987,0.972,0.997,1.009,1.009,1.008
MIS_LA,0.958,0.958,1.013,1,0.967,0.93,1,0.933,,0.957,0.926,0.879,0.946,0.968,0.968,0.956
MIS_LMI,1.009,1.009,1.015,1,1.016,0.995,1,0.997,,1.024,1.007,1.002,0.999,1.025,1.025,1.022
MIS_MAPP,0.97,0.97,1.003,1,0.966,0.968,1,0.968,,1.035,0.985,0.945,0.975,0.976,0.976,0.967
MIS_MIDA,0.996,0.996,1.015,1,0.997,0.968,1,0.968,,1.04,1.007,0.984,0.975,1.007,1.007,1
MIS_MNWI,1.006,1.006,1.02,1,1,0.968,1,0.968,,1.05,1.021,1.008,0.975,1.015,1.015,1.01
MIS_MO,0.995,0.995,1.015,1,0.995,1.017,1,1.019,,1.016,0.996,0.981,1.017,1.013,1.013,1.009
MIS_WOTA,0.956,0.956,0.956,1,0.966,0.93,1,0.933,0.956,0.956,0.923,0.956,0.979,0.946,0.946,0.946
NENG_CT,1.028,1.028,1.032,1,1.013,1.01,1,0.994,1.045,1.045,1.029,1.029,0.997,1.046,1.046,1.046
NENG_ME,1.181,1.181,1.146,1,1.068,1.03,1,1.009,1.081,1.081,1.076,1.103,1.009,1.112,1.112,1.116
NENGREST,1.064,1.064,1.074,1,1.042,1.03,1,1.009,1.065,1.065,1.017,0.993,1.009,1.046,1.046,1.047
