IPM Region,State,Wind Class,Resource Class,Cost Class 1,Cost Class 2,Cost Class 3,Cost Class 4,Cost Class 5,Cost Class 6
ERC_REST,TX,Class 5,6,140,1040,,,,
ERC_REST,TX,Class 6,5,31,31,35,46,54,110
FRCC,FL,Class 6,5,22,23,30,35,54,149
MIS_AMSO,LA,Class 6,5,47,56,133,199,207,406
MIS_LA,LA,Class 6,5,5143,,,,,
MIS_LMI,MI,Class 2,7,5431,,,,,
MIS_WOTA,LA,Class 6,5,70,95,114,120,127,354
MIS_WOTA,TX,Class 6,5,28,28,28,29,31,108
MIS_WUMS,MI,Class 3,7,11000,,,,,
MIS_WUMS,WI,Class 4,6,133304,,,,,
NENG_ME,ME,Class 1,8,6139,,,,,
NENGREST,MA,Class 1,8,15,178,178,178,178,476
NENGREST,RI,Class 1,8,14035,,,,,
NY_Z_K,NY,Class 1,8,278,,,,,
NY_Z_K,NY,Class 2,7,4,207,,,,
PJM_ATSI,OH,Class 3,7,296,458,1683,,,
PJM_Dom,NC,Class 2,7,44,148,420,,,
PJM_Dom,VA,Class 2,7,67,400,,,,
PJM_Dom,VA,Class 4,6,17645,,,,,
PJM_EMAC,DE,Class 1,8,71,,,,,
PJM_EMAC,DE,Class 2,7,49,438,,,,
PJM_EMAC,MD,Class 2,7,204,,,,,
PJM_EMAC,NJ,Class 1,8,35,89,124,211,,
PJM_EMAC,NJ,Class 2,7,4,225,,,,
PJM_EMAC,VA,Class 2,7,325,244697,4032984,,,
S_SOU,AL,Class 6,5,117,246,720,,,
S_SOU,FL,Class 6,5,1241,,,,,
S_SOU,GA,Class 6,5,58,135,691,,,
S_SOU,MS,Class 6,5,235,,,,,
S_VACA,NC,Class 3,7,76,528,,,,
S_VACA,SC,Class 5,6,9,67,74,232,,
S_VACA,SC,Class 6,5,21,148,,,,
